Set ID,Set Name,Set Code,Series,Language,Release Date,Total Cards,Total Value (Estimated),Average Card Value
399,Mcdonald's Promos 2022,,Sword & Shield,ENGLISH,"Tue, 16 Aug 2022 00:00:00 GMT",15,6.080000000000001,0.4053333333333334
489,VSTAR Special Set,sp6,Sword & Shield,JAPANESE,"Fri, 05 Aug 2022 00:00:00 GMT",6,15.060000000000002,2.5100000000000002
417,Deoxys VSTAR & VMAX High-Class Deck,sPD,Sword & Shield,JAPANESE,"Fri, 15 Jul 2022 00:00:00 GMT",0,0.0,0.0
388,Lost Abyss,s11,Sword & Shield,JAPANESE,"Fri, 15 Jul 2022 00:00:00 GMT",127,880.7891666666662,6.935347769028868
492,Zeraora VSTAR & VMAX High-Class Deck,sPZ,Sword & Shield,JAPANESE,"Fri, 15 Jul 2022 00:00:00 GMT",0,0.0,0.0
387,Pokemon GO,,Sword & Shield,ENGLISH,"Fri, 01 Jul 2022 00:00:00 GMT",148,286.5199999999998,1.9359459459459447
366,Pokemon GO Japanese,s10B,Sword & Shield,JAPANESE,"Fri, 17 Jun 2022 00:00:00 GMT",93,240.97199978354976,2.5910967718661264
182,Astral Radiance,,Sword & Shield,ENGLISH,"Fri, 27 May 2022 00:00:00 GMT",374,975.8400000000003,2.6091978609625675
184,Dark Phantasma,s10A,Sword & Shield,JAPANESE,"Fri, 13 May 2022 00:00:00 GMT",99,246.58458928571437,2.490753427128428
180,Time Gazer,s10D,Sword & Shield,JAPANESE,"Sat, 09 Apr 2022 00:00:00 GMT",88,345.9757962962964,3.931543139730641
181,Space Juggler,s10P,Sword & Shield,JAPANESE,"Sat, 09 Apr 2022 00:00:00 GMT",88,283.44979629629637,3.2210204124579134
416,Darkrai VSTAR Starter Set,sLD,Sword & Shield,JAPANESE,"Fri, 25 Feb 2022 00:00:00 GMT",20,24.331666666666663,1.2165833333333331
179,Battle Region,s9A,Sword & Shield,JAPANESE,"Fri, 25 Feb 2022 00:00:00 GMT",93,349.13385714285727,3.7541274961597555
178,Brilliant Stars,,Sword & Shield,ENGLISH,"Fri, 25 Feb 2022 00:00:00 GMT",340,982.5699999999993,2.88991176470588
432,Lucario VSTAR Starter Set,sLL,Sword & Shield,JAPANESE,"Fri, 25 Feb 2022 00:00:00 GMT",21,158.49833333333333,7.547539682539683
454,Start Deck 100 CoroCoro Comic Version,sN,Sword & Shield,JAPANESE,"Sat, 15 Jan 2022 00:00:00 GMT",25,292.88000000000005,11.715200000000003
177,Star Birth,s9,Sword & Shield,JAPANESE,"Fri, 14 Jan 2022 00:00:00 GMT",127,547.7247222222225,4.312793088363956
488,VSTAR Premium Trainer Box,sK,Sword & Shield,JAPANESE,"Fri, 14 Jan 2022 00:00:00 GMT",30,197.21175925925925,6.573725308641975
453,Start Deck 100,sI,Sword & Shield,JAPANESE,"Fri, 17 Dec 2021 00:00:00 GMT",430,1908.0450000000003,4.437313953488373
173,VMAX Climax,s8B,Sword & Shield,JAPANESE,"Fri, 03 Dec 2021 00:00:00 GMT",285,1291.2221805555557,4.530604142300196
490,Zacian & Zamazenta vs Eternatus Special Deck Set,sJ,Sword & Shield,JAPANESE,"Fri, 05 Nov 2021 00:00:00 GMT",0,0.0,0.0
172,Fusion Strike,,Sword & Shield,ENGLISH,"Sun, 31 Oct 2021 00:00:00 GMT",501,1480.27,2.954630738522954
117,25th Anniversary Collection,s8A,Sword & Shield,JAPANESE,"Fri, 22 Oct 2021 00:00:00 GMT",47,261.51166666666666,5.564078014184397
402,25th Anniversary Golden Box,s8a-G,Sword & Shield,JAPANESE,"Fri, 22 Oct 2021 00:00:00 GMT",16,258.0116666666667,16.12572916666667
446,Promo Card Pack 25th Anniversary Edition,s8a-P,Sword & Shield,JAPANESE,"Fri, 22 Oct 2021 00:00:00 GMT",25,802.2322081529583,32.08928832611833
112,Celebrations,,Sword & Shield,ENGLISH,"Fri, 08 Oct 2021 00:00:00 GMT",25,49.34999999999999,1.9739999999999995
111,Celebrations: Classic Collection,,Sword & Shield,ENGLISH,"Thu, 07 Oct 2021 00:00:00 GMT",25,275.7,11.027999999999999
